0,-0.012207,-0.0146484,0,0.583496,0.576172,0,-0.0146484,-0.0195312,0,0.581055,0.581055,0
4,-0.0146484,-0.0146484,0,0.583496,0.581055,0,-0.0195312,-0.0195312,0,0.581055,0.581055,0
23,-0.012207,-0.0170898,0,0.581055,0.581055,0,-0.0146484,-0.0219727,0,0.581055,0.581055,0
43,-0.0146484,-0.0170898,0,0.583496,0.581055,0,-0.0146484,-0.0170898,0,0.581055,0.578613,0
63,-0.0146484,-0.0170898,0,0.583496,0.583496,0,-0.0170898,-0.0170898,0,0.581055,0.581055,0
83,-0.012207,-0.0146484,0,0.583496,0.578613,0,-0.0170898,-0.0170898,0,0.585938,0.581055,0
103,-0.012207,-0.0170898,0,0.585938,0.581055,0,-0.0146484,-0.0195312,0,0.581055,0.576172,0
123,-0.00976562,-0.0195312,0,0.583496,0.583496,0,-0.0195312,-0.0146484,0,0.583496,0.578613,0
143,-0.0170898,-0.0170898,0,0.583496,0.581055,0,-0.0170898,-0.0219727,0,0.581055,0.581055,0
163,-0.012207,-0.0170898,0,0.585938,0.581055,0,-0.0146484,-0.0146484,0,0.583496,0.581055,0
183,-0.0195312,-0.0170898,0,0.583496,0.581055,0,-0.0195312,-0.0170898,0,0.585938,0.583496,0
203,-0.0170898,-0.0146484,0,0.585938,0.578613,0,-0.0146484,-0.0195312,0,0.583496,0.578613,0
223,-0.0146484,-0.0146484,0,0.585938,0.583496,0,-0.012207,-0.0170898,0,0.583496,0.583496,0
243,-0.0146484,-0.0195312,0,0.583496,0.585938,0,-0.0146484,-0.0170898,0,0.583496,0.581055,0
263,-0.0146484,-0.0170898,0,0.585938,0.581055,0,-0.0146484,-0.0170898,0,0.583496,0.578613,0
283,-0.0146484,-0.0170898,0,0.583496,0.583496,0,-0.0170898,-0.0146484,0,0.585938,0.581055,0
303,-0.012207,-0.0146484,0,0.581055,0.583496,0,-0.0170898,-0.0195312,0,0.585938,0.581055,0
323,-0.0146484,-0.0146484,0,0.585938,0.585938,0,-0.0146484,-0.0170898,0,0.583496,0.585938,0
343,-0.012207,-0.0146484,0,0.588379,0.581055,0,-0.0146484,-0.0195312,0,0.578613,0.583496,0
363,-0.0146484,-0.0170898,0,0.585938,0.583496,0,-0.0195312,-0.0195312,0,0.585938,0.585938,0
383,-0.0146484,-0.0146484,0,0.585938,0.583496,0,-0.0195312,-0.0170898,0,0.588379,0.583496,0
403,-0.0146484,-0.0146484,0,0.583496,0.581055,0,-0.0195312,-0.0219727,0,0.583496,0.581055,0
