0,-0.00840957,0.00778015,-0.00323589,0.999929,0,0,0,1,0,0,0,0,10,10,10,10,0,-0.0168711,0.0155054,-0.00660302,0.00353996,-0.00770072,-0.00553732,90.4596,90.4596,91.2262,91.2262,1.45957,1.44725,1.45957,1.45341,
0.019866,-0.00845182,0.00777937,-0.00327499,0.999929,0,0,0,1,-0.44223,0.215434,0.237587,-0.420077,10,10,10,10,0.0200002,-0.0169562,0.0155029,-0.00668187,-0.00556445,0.000911507,-0.00641016,91.9928,91.2262,91.2262,90.8429,1.47188,1.45957,1.45957,1.45957,
0.040069,-0.00844945,0.00777598,-0.00336672,0.999928,0,0,0,1,-0.502264,0.241145,0.267051,-0.476358,10,10,10,10,0.0400002,-0.0169529,0.0154946,-0.00686525,0.00234179,-0.00251175,-0.00597321,91.6095,91.6095,91.6095,91.9928,1.47188,1.46572,1.46572,1.47188,
0.059448,-0.00844734,0.00779081,-0.00335544,0.999928,0,0,0,1,-0.511201,0.243438,0.269506,-0.485133,10,10,10,10,0.0600002,-0.0169486,0.0155244,-0.0068429,0.00378185,0.00263028,0.00158276,91.6095,91.6095,91.6095,91.2262,1.47188,1.47188,1.47188,1.47188,
0.079772,-0.00847016,0.00781076,-0.00343197,0.999928,0,0,0,1,-0.513799,0.24342,0.269216,-0.488003,10,10,10,10,0.0800002,-0.0169956,0.0155629,-0.00699667,-0.00299344,0.00137161,-0.00991921,91.9928,90.8429,91.6095,91.9928,1.47804,1.45957,1.47188,1.47804,
0.10025,-0.00849729,0.00782827,-0.00347596,0.999927,0,0,0,1,-0.517035,0.242288,0.268291,-0.491033,10,10,10,10,0.1,-0.0170507,0.015597,-0.00708537,0.000534668,0.00497457,-0.00039651,91.9928,91.2262,91.9928,91.6095,1.47804,1.46572,1.46572,1.47804,
0.119262,-0.00845198,0.00783785,-0.0034577,0.999928,0,0,0,1,-0.517491,0.242291,0.267401,-0.492382,10,10,10,10,0.12,-0.0169598,0.0156168,-0.0070483,0.00777747,-0.0014588,0.00142517,91.9928,91.2262,91.9928,91.6095,1.47804,1.45957,1.46572,1.46572,
0.139617,-0.00841457,0.00783859,-0.00350052,0.999928,0,0,0,1,-0.516269,0.242116,0.265232,-0.493153,10,10,10,10,0.14,-0.0168857,0.0156178,-0.00713339,0.00371573,0.00262328,-0.00336048,91.6095,91.6095,91.6095,91.9928,1.4842,1.47804,1.47804,1.47188,
0.159729,-0.00840107,0.00781811,-0.00351471,0.999928,0,0,0,1,-0.515981,0.240794,0.263029,-0.493746,10,10,10,10,0.16,-0.0168587,0.0155767,-0.00716121,0.0016229,-0.000535581,-0.00382969,92.3761,91.9928,91.9928,91.9928,1.47804,1.4842,1.47804,1.46572,
0.179962,-0.0084366,0.00780234,-0.00355136,0.999928,0,0,0,1,-0.517187,0.239084,0.26239,-0.493881,10,10,10,10,0.18,-0.0169303,0.0155442,-0.00723479,-0.00244911,-0.00343022,-0.00314728,91.9928,91.2262,91.9928,91.9928,1.4842,1.47188,1.47804,1.47188,
0.200134,-0.00835361,0.00774693,-0.00353581,0.999929,0,0,0,1,-0.516718,0.237078,0.261019,-0.492777,10,10,10,10,0.2,-0.0167636,0.0154343,-0.00720147,0.0118357,-0.00467222,0.000299971,92.3761,91.9928,91.9928,91.6095,1.49036,1.47804,1.47804,1.47804,
0.21936,-0.00834045,0.00781544,-0.00358567,0.999928,0,0,0,1,-0.515258,0.236547,0.258364,-0.493441,10,10,10,10,0.22,-0.0167386,0.0155706,-0.00730215,0.00229801,0.00894488,-0.00380314,92.3761,91.9928,91.9928,91.9928,1.47188,1.47804,1.46572,1.47804,
0.239501,-0.00831158,0.00778277,-0.00362032,0.999929,0,0,0,1,-0.51555,0.235882,0.255846,-0.495587,10,10,10,10,0.24,-0.0166811,0.0155049,-0.00737045,0.00425506,-0.0034375,-0.00185962,92.3761,92.3761,91.9928,92.7594,1.4842,1.47804,1.47804,1.47804,
0.259857,-0.00828028,0.00779051,-0.00359527,0.999929,0,0,0,1,-0.514531,0.235139,0.254159,-0.495511,10,10,10,10,0.26,-0.0166182,0.015521,-0.00731999,0.00426943,0.00300818,0.00309855,92.3761,91.9928,91.9928,91.9928,1.4842,1.47188,1.47804,1.47804,
0.28012,-0.00822599,0.00773619,-0.00362967,0.99993,0,0,0,1,-0.512816,0.233942,0.252066,-0.494692,10,10,10,10,0.28,-0.0165097,0.0154122,-0.00738704,0.00809471,-0.00599091,-0.00374054,91.6095,91.6095,91.9928,91.9928,1.47804,1.47804,1.4842,1.49036,
0.299377,-0.00822969,0.00776053,-0.00363144,0.999929,0,0,0,1,-0.512143,0.232607,0.250207,-0.494543,10,10,10,10,0.3,-0.0165173,0.0154608,-0.00739105,-0.000682436,0.00174025,-0.00364826,92.3761,91.6095,92.3761,92.3761,1.4842,1.49036,1.4842,1.46572,
0.319488,-0.00815017,0.00778794,-0.00363592,0.99993,0,0,0,1,-0.510626,0.233393,0.24834,-0.495678,10,10,10,10,0.32,-0.0163585,0.0155161,-0.00739923,0.0130554,0.000987453,0.00119072,91.9928,92.3761,92.3761,92.3761,1.4842,1.47804,1.4842,1.4842,
0.339599,-0.00809069,0.00779478,-0.00355596,0.999931,0,0,0,1,-0.506441,0.23538,0.246483,-0.495339,10,10,10,10,0.34,-0.0162384,0.0155316,-0.0072385,0.00537284,0.00347748,0.00860144,91.9928,91.9928,91.6095,92.3761,1.47804,1.47188,1.47188,1.4842,
